Rice Ball|Plum Rice Ball, Leaf Rice Ball, Roe Rice Ball|Shrimp Rice Ball
Bread|Sandwich, Custard Bread, Curry Bread, Baguette|Blehgel
Candy|10-cent Gum, Gooey Candy, Giant Cracker, Fruit Drops, Shaved Ice|Candy Apple
Milk|Milk, Coffee Milk, Fruit Milk|Amazing Milk
Juice|Y-cola, Soul Tea, Spiritizer Y|Voltxtreme
Hamburger|Hamburger, Cheeseburger, Double Burger|Nom Burger
Ramen|Ramen Cup, Pork Ramen, Deluxe Ramen|Everything Ramen
Chinese Food|Pot Stickers, Liver And Chives, Crab Omelet|Chili Shrimp
Vegetables|Carrot, Cucumber, Bamboo Shoot|Matsutake
Meat|Chicken Thigh, Slab Bacon, Beef Tongue|Marbled Beef
Seafood|Dried Mackerel, Yellowtail, Fresh Urchin|Choice Tuna
