Abodabat|Shady|A|Wind|---|Meat
Agon|Shady|B|Earth|---|Candy
Ake|Shady|E|Earth|+Buff Weight > Payn|Candy
Alhail|Eerie|B|Ice|---|Juice
Alloo|Mysterious|B|Thunder|---|Chinese Food
Almi|Slippery|B|Water|---|Bread
Appak|Charming|A|Water|---|Vegetables
Armsman|Tough|D|Ice|---|Vegetables
Auntie Heart|Heartful|S|Restoration|---|Vegetables
Awevil|Shady|S|Water|---|Meat
Azure Dragon|Slippery|S|Water|---|Chinese Food
B3-NK1|Brave|B|Thunder|---|Chinese Food
Babblong|Slippery|C|Restoration|---|Candy
Baddinyan|Charming|B|Fire|---|Seafood
Badude|Tough|B|Earth|---|Ramen
Baku|Charming|D|Absorption|---|Juice
Bananose|Slippery|A|Water|---|Candy
Beelzbold|Shady|S|Fire|---|Ramen
Beetall|Brave|S|Ice|---|Vegetables
Beetler|Brave|B|Earth|+General's Soul > Beetall|Vegetables
Belfree|Shady|A|Wind|---|Meat
Benkei|Brave|B|Ice|---|Chinese Food
Betterfly|Heartful|A|Restoration|---|Juice
Blandon|Shady|B|Wind|---|Rice Ball
Blazion|Brave|D|Fire|---|Meat
Blips|Mysterious|C|Absorption|---|Hamburger
Blizzaria|Charming|S|Ice|---|Candy
Bloominoko|Slippery|A|Earth|---|Hamburger
Blowkade|Tough|D|Water|---|Milk
Bruff|Tough|A|Earth|---|Ramen
Buhu|Eerie|E|Wind|---|Bread
Cadable|Charming|C|Wind|---|Juice
Cadin|Charming|E|Wind|Lv. 21 > Cadable|Juice
Casanono|Mysterious|A|Fire|---|Bread
Casanuva|Mysterious|A|Wind|---|Bread
Castelius III|Tough|C|Earth|+Castelius III > Castelius II|Milk
Castelius II|Tough|B|Ice|+Castelius II > Castelius I|Milk
Castelius I|Tough|A|Thunder|+Platinum Bar > Castelius Max|Milk
Castelius Max|Tough|S|Wind|---|Milk
Chansin|Brave|C|Fire|+Legendary Blade > Sheen,+Cursed Blade > Snee,+Holy Blade > Gleam|Seafood
Chatalie|Eerie|D|Thunder|---|Bread
Cheeksqueek|Eerie|C|Ice|---|Milk
Chilhuahua|Charming|A|Ice|---|Ramen
Chippa|Heartful|C|Water|---|Milk
Chummer|Slippery|C|Water|---|Vegetables
Compunzer|Eerie|A|Absorption|---|Chinese Food
Confuze|Slippery|B|Absorption|---|Candy
Contrarioni|Shady|B|Thunder|---|Chinese Food
Copperled|Slippery|B|Fire|---|Seafood
Corptain|Brave|S|Absorption|---|Vegetables
Coughkoff|Eerie|E|Water|---|Bread
Count Cavity|Shady|S|Fire|---|Ramen
Croonger|Slippery|C|Absorption|---|Meat
Cruncha|Brave|S|Ice|---|Vegetables
Cupistol|Mysterious|D|Wind|+Lovebuster > Casanuva|Bread
Cutta-nah|Brave|E|Wind|Lv. 20 > Cutta-nah-nah|Juice
Cutta-nah-nah|Brave|C|Wind|---|Juice
Cuttincheez|Eerie|A|Ice|---|Milk
Cynake|Slippery|B|Water|---|Seafood
D'wanna|Mysterious|E|Recovery|Lv. 15 > N'more|Hamburger
Daiz|Slippery|C|Absorption|---|Candy
Damona|Charming|S|Ice|---|Candy
Dandoodle|Eerie|S|Restoration|---|Chinese Food
Darumacho|Tough|B|Earth|---|Bread
Dazzabel|Charming|E|Fire|+Cupistol > Rattelle|Hamburger
Dianyan|Charming|A|Ice|---|Seafood
Dimmy|Shady|E|Wind|Lv. 24 > Blandon|Rice Ball
Dismarelda|Eerie|D|Earth|---|Bread
Draggie|Slippery|D|Earth|+Dragon Orb > Dragon Lord|Chinese Food
Dragon Lord|Slippery|S|Earth|---|Chinese Food
Drizzle|Eerie|B|Water|---|Juice
Dromp|Tough|A|Earth|---|Vegetables
Droplette|Eerie|E|Water|Lv. 25 > Drizzle|Juice
Dubbles|Heartful|A|Water|---|Candy
Duchoo|Mysterious|D|Ice|---|Seafood
Dulluma|Tough|E|Earth|+Mochismo > Darumacho|Bread
Dummkap|Mysterious|E|Thunder|---|Candy
Elder Bloom|Heartful|S|Restoration|---|Rice Ball
Elloo|Mysterious|C|Ice|---|Chinese Food
Emenyan|Charming|A|Restoration|---|Seafood
Enefly|Heartful|D|Absorption|---|Juice
Enerfly|Heartful|D|Restoration|+Enefly > Betterfly|Juice
Espy|Mysterious|B|Earth|---|Vegetables
Eterna|Eerie|S|Absorption|---|Milk
Everfore|Eerie|S|Absorption|---|Milk
Fidgephant|Tough|D|Water|---|Rice Ball
